strategy,code,name,segment,n_trades,win_rate,total_return,max_drawdown,calmar,avg_return,avg_hold_days,bh_return,vs_bh
kdj_any_hold_10,301165,锐捷网络,交换机/网络设备,16,68.75,169.06,-30.79,5.49,7.71,10.0,563.03,-393.97
random_same_freq_hold_10,301165,锐捷网络,交换机/网络设备,2,50.0,5.79,-13.25,0.44,3.25,10.0,563.03,-557.24
v1_tianma_exit,002396,星网锐捷,交换机/网络设备,4,50.0,-9.64,-19.44,-0.5,-1.89,12.0,149.98,-159.62
tianma_hold_10,002396,星网锐捷,交换机/网络设备,3,66.67,25.02,-13.05,1.92,2.93,10.0,149.98,-124.96
tianma_hold_20,002396,星网锐捷,交换机/网络设备,2,50.0,15.71,-21.55,0.73,0.21,20.0,149.98,-134.27
macd_zero_hold_10,002396,星网锐捷,交换机/网络设备,10,70.0,56.25,-13.73,4.1,3.86,10.0,149.98,-93.73
kdj_any_hold_10,002396,星网锐捷,交换机/网络设备,16,50.0,38.28,-25.74,1.49,1.57,10.0,149.98,-111.7
random_same_freq_hold_10,002396,星网锐捷,交换机/网络设备,2,50.0,42.06,-4.53,9.28,3.37,10.0,149.98,-107.92
v1_tianma_exit,301191,菲菱科思,交换机/网络设备,6,33.33,-10.71,-18.11,-0.59,-1.4,8.8,154.65,-165.36
tianma_hold_10,301191,菲菱科思,交换机/网络设备,5,40.0,-0.7,-23.77,-0.03,0.67,10.0,154.65,-155.35
tianma_hold_20,301191,菲菱科思,交换机/网络设备,3,33.33,-0.05,-21.52,-0.0,-1.76,20.0,154.65,-154.7
macd_zero_hold_10,301191,菲菱科思,交换机/网络设备,16,37.5,-20.8,-38.75,-0.54,-0.89,10.0,154.65,-175.45
kdj_any_hold_10,301191,菲菱科思,交换机/网络设备,18,44.44,-28.37,-49.47,-0.57,-0.96,10.0,154.65,-183.02
random_same_freq_hold_10,301191,菲菱科思,交换机/网络设备,6,66.67,23.88,-16.7,1.43,4.12,10.0,154.65,-130.77
v1_tianma_exit,002130,沃尔核材,高速铜缆/铜连接,8,37.5,28.27,-36.4,0.78,5.8,12.9,8.78,19.49
tianma_hold_10,002130,沃尔核材,高速铜缆/铜连接,7,57.14,11.09,-25.4,0.44,3.3,10.0,8.78,2.31
tianma_hold_20,002130,沃尔核材,高速铜缆/铜连接,5,40.0,9.73,-40.84,0.24,6.74,20.0,8.78,0.95
macd_zero_hold_10,002130,沃尔核材,高速铜缆/铜连接,12,66.67,56.05,-31.86,1.76,5.42,10.0,8.78,47.27
kdj_any_hold_10,002130,沃尔核材,高速铜缆/铜连接,15,60.0,36.91,-38.75,0.95,3.56,10.0,8.78,28.13
random_same_freq_hold_10,002130,沃尔核材,高速铜缆/铜连接,8,37.5,-7.71,-26.0,-0.3,0.73,10.0,8.78,-16.49
v1_tianma_exit,300563,神宇股份,高速铜缆/铜连接,6,33.33,20.38,-42.37,0.48,7.67,11.8,-31.27,51.65
tianma_hold_10,300563,神宇股份,高速铜缆/铜连接,6,33.33,33.7,-43.09,0.78,8.89,10.0,-31.27,64.97
tianma_hold_20,300563,神宇股份,高速铜缆/铜连接,5,40.0,50.78,-38.57,1.32,15.04,20.0,-31.27,82.05
macd_zero_hold_10,300563,神宇股份,高速铜缆/铜连接,15,40.0,-5.01,-52.08,-0.1,2.09,10.0,-31.27,26.26
kdj_any_hold_10,300563,神宇股份,高速铜缆/铜连接,16,37.5,-36.39,-64.7,-0.56,-0.29,10.0,-31.27,-5.12
random_same_freq_hold_10,300563,神宇股份,高速铜缆/铜连接,7,28.57,18.31,-38.05,0.48,5.94,10.0,-31.27,49.58
v1_tianma_exit,300913,兆龙互连,高速铜缆/铜连接,5,40.0,0.03,-14.6,0.0,0.77,13.2,67.73,-67.7
tianma_hold_10,300913,兆龙互连,高速铜缆/铜连接,5,40.0,-3.79,-15.99,-0.24,-0.08,10.0,67.73,-71.52
tianma_hold_20,300913,兆龙互连,高速铜缆/铜连接,4,50.0,26.64,-18.96,1.41,8.56,20.0,67.73,-41.09
macd_zero_hold_10,300913,兆龙互连,高速铜缆/铜连接,15,40.0,-56.38,-63.87,-0.88,-2.36,10.0,67.73,-124.11
kdj_any_hold_10,300913,兆龙互连,高速铜缆/铜连接,18,33.33,-40.25,-46.1,-0.87,-2.04,10.0,67.73,-107.98
random_same_freq_hold_10,300913,兆龙互连,高速铜缆/铜连接,5,40.0,-35.34,-41.45,-0.85,-7.14,10.0,67.73,-103.07
v1_tianma_exit,600577,精达股份,高速铜缆/铜连接,1,0.0,-3.13,-8.35,-0.37,-2.88,14.0,128.82,-131.95
tianma_hold_10,600577,精达股份,高速铜缆/铜连接,1,100.0,3.72,-2.12,1.75,3.99,10.0,128.82,-125.1
tianma_hold_20,600577,精达股份,高速铜缆/铜连接,1,100.0,9.06,-8.23,1.1,9.35,20.0,128.82,-119.76
